dataid,sec,motif,tag_motif,kclust18,kclust06,v_Face,v_Head,v_Hip,v_Trunk,x_Head,y_Head,x_Face,z_Face,y_Face,x_Hip,z_Hip,y_Hip,y_Trunk,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1,0,1,0,1,5,0.031386586,0.035829127,0.034640430294842685,0.016925277,0.069798875,-5.65E-04,0.052792613,0.018826513811520805,1.9567588085710186e-4,-0.043012117,0.011564952196498179,-0.03633902,0.041718222,-0.305649382,0.10992699893405557,-0.524556163,-0.028329953,-0.265600713,-0.285711295,0.23585492277716674,0.1214658621692154,-0.048700263,-1.015649167,0.001298458,-0.168465333,0.19286138326255917
1,0.1,1,0,1,5,0.032944231,0.037348578,0.033248928,0.014589734092345123,0.069291094,0.001472755,0.054024421501474275,0.020499367544874327,0.001490658,-0.042771863,0.014301157607288138,-0.035882077,0.043352203,-0.294192684,0.10724906320834983,-0.600567928,-0.05277402,-0.198648516,-0.266575594,0.19995871645916433,0.12526356863509414,-0.068091284,-0.981430692,0.077791176,-0.155232341,0.18500800461320607
1,0.2,1,0,1,5,0.036022039,0.038557546,0.030141717756765354,0.012321302878045679,0.069014921,0.003933535,0.055810091818698754,0.021892705,0.00365498,-0.042165647,0.016377342655840427,-0.035745667,0.045029078,-0.278080904,0.10367261607250965,-0.659561379,-0.101334228,-0.116987037,-0.230174464,0.15057020609057037,0.1161031793585314,-0.086282015,-0.911124628,0.12163025477739554,-0.119692435,0.16816275569622033
1,0.3,1,0,1,5,0.035760103,0.038952071,0.025002602221731597,0.010507134240832121,0.06877454,0.006818533,0.057492811,0.022857403,0.006661723,-0.041378206,0.017726951263416557,-0.035930372,0.046748776,-0.248079761,0.087444415,-0.698492461,-0.137987216,-0.046231981,-0.184255799,0.10037910395025007,0.093499032,-0.057163636,-0.834338148,0.14859616118801106,-0.079235065,0.15810791570120128
1,0.4,1,0,2,5,0.032379694,0.038241892,0.018263237230721527,0.009557847,0.06841367,0.010133375499539202,0.057150022010199315,0.023402044207143858,0.00920895,-0.040580088,0.018332652,-0.03645019,0.048515666,-0.202705555,0.061043555,-0.718312385,-0.161257848,0.003291354,-0.143240194,0.053120813,0.078265736,0.018045509,-0.778861009,0.13502647255845923,-0.042268436,0.20092664778845923
1,0.5,1,0,2,5,0.030380039,0.036135077850228556,0.011266598254556804,0.00970577,0.067849751,0.013226016729001498,0.057700129,0.023185272,0.011020846726729802,-0.039864537,0.018379898,-0.037232756,0.050388318,-0.161304659,0.037317742,-0.716281541,-0.182705823,0.058955714,-0.092000658,0.014863781091587754,0.059756507649288214,0.084693192,-0.661599992,0.063988065,-0.015506605,0.24543543750211955
1,0.6,1,0,2,5,0.030237661,0.032647123,0.007303817,0.010612920041884494,0.067307664,0.015669625486159106,0.059571826804737174,0.023280781,0.012505611,-0.039185621,0.018546835873244842,-0.038045923,0.052306456,-0.133997617,0.024543473654087104,-0.721698836,-0.180881721,0.092847788,-0.042981639,-0.003756318,0.037183815,0.10175130228748903,-0.51070759,-0.026793127,0.008145811,0.2629653228101289
1,0.7,1,0,12,3,0.024683513345368908,0.027914603273381636,0.007000515,0.011305480498703072,0.06694692,0.017613209,0.061044827219085246,0.024551761477032807,0.015196524062094208,-0.038288223,0.019272859186731738,-0.038750601,0.054197069,-0.102659894,0.005497698,-0.756573079,-0.108705968,0.054695716584065385,-0.017648625,0.007671215,0.008662788,0.1170477811160019,-0.434508027,-0.057245824,0.037736581124344845,0.25123844608233564
1,0.8,1,0,12,3,0.02270326,0.022046994635919356,0.006378122,0.010971883,0.066636242,0.019372563357910294,0.061191355693420754,0.024095415,0.015959663165887206,-0.036985393,0.020430262006550386,-0.039437024,0.056122639,-0.069956321,-0.012991893,-0.773192481,-0.062698226,0.069957236,-0.007917427,0.033528750547294046,0.006129841,0.086324989,-0.35758563,-0.12285602,0.08670376,0.2777532533549139
1,0.9,1,0,12,6,0.024673458,0.014925641055371665,0.004535133,0.009474,0.066223136,0.021047723341698396,0.060842072,0.021897189328210224,0.016184313734808303,-0.035580863,0.021687435031999477,-0.040025392,0.058017788,-0.034601124,-0.033209287,-0.763402611,-0.051201502,0.14390468839341494,-0.004922418,0.055612734,0.019842039013822983,0.011673968,-0.247768844,-0.227263099,0.15089455326924997,0.3073976778683365
