batch,fragment,id,frame,time,x_Head,x_LFoot,x_LHand,x_LKnee,x_LShoulder,x_Neck,x_Nose,x_RFoot,x_RHand,x_RKnee,x_RShoulder,x_Tail,y_Head,y_Hip,y_LFoot,y_LHand,y_LKnee,y_LShoulder,y_Neck,y_Nose,y_RFoot,y_RHand,y_RKnee,y_RShoulder,y_Tail,z_Head,z_LFoot,z_LHand,z_LKnee,z_LShoulder,z_Nose,z_RFoot,z_RHand,z_RKnee,z_RShoulder,z_Tail,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
Batch11,47,10,62220,0,0.6769493971488573,0.2703244235287496,0.8339787992559822,0.01083739002697335,0.4688517747917209,0.5593990189117031,0.7536478197285462,0.910394346257635,1.097452580051854,0.6872359580042776,0.5815733896341747,-0.1691028952565756,-1.208267654672452,2.4761483032353646,0.13034687191341632,-0.11086811135426902,-0.4093155091447362,-0.765783228850013,-0.8425243951613003,-1.0113297420575158,0.0025482096790668,0.01890141334006789,-0.34120359956795676,-0.8505488478904851,0.28864446527036947,0.31577288897685507,0.461654518876925,0.6698839185245515,0.3983210109031125,0.34897486531583427,0.4698736763163522,0.16215896549173056,-0.0158761449931606,-0.05188305157009224,-0.16247139552515422,-0.17246512142783063,-0.2648159151603484,-0.10159719480665472,-0.1284271933438771,0.24523757760167872,-0.09677852202918137,-0.011666996977074445,-0.09763823938776371,0.01749839023531048,0.03281833920337301,-0.028575748698162772,0.11826411028522882,0.005315382697891701,-0.1538667888864631,-0.04754800348849243,0.23852080706201798,-0.015549529378144526,-0.04485597525821977,-0.04478270220202229,-0.34909273367411003,0.014311848946056091,0.0553877923400624,-0.1420426978924073,-0.19890922713180717,0.03737195805675087,0.020821100192482754,-0.11937419498319139,0.009038086640036722,0.07411977121720778,0.33230683689321455,-0.06273578046329936,0.07133742336755806,-0.039951244065626675,-0.1450909978953215,-0.035378919642580935,0.22208439831191248,0.21671731453742787
Batch11,47,10,62240,1,0.8926701134922289,0.29888539115304696,0.7475702446328555,0.2395015718684473,0.6062329720703424,0.7415535765533661,0.8985390890870603,0.8157882196509266,0.905445011040721,0.631808279807634,0.6194033034546929,-0.33067161573405257,-0.6708561338943451,1.9937827133963728,0.33267920588989075,-0.02834562577332916,-0.18112101022257773,-0.4385231633142435,-0.476636353167222,-0.45515868527190334,0.22938761001553631,0.42333711691097714,-0.09584417199330617,-0.45429809027885126,0.45171265128636606,0.23934407975371996,0.2805358021715641,0.32806880603862426,0.38447019524426584,0.2143930733650496,0.3578080818626744,0.09059716117272072,-0.1209612032527086,-0.08689958411629846,-0.21131295586775992,-0.07014947244466102,-0.13319855328582325,-0.05246219079974306,-0.07680770716211394,0.18286119199278938,-0.06663266793445484,-0.011584410163507895,-0.06762557911985287,-0.00966006951277635,0.0037295497673768834,0.004234404477685399,-0.0029172643724905294,0.0058572718280438295,-0.12028926423489165,-0.03669656263590092,0.27977559165889493,-0.16175122682353504,-0.07312084651097979,0.08483893542048186,-0.15978084229975364,-0.01862839229417245,-0.034697479275503096,0.02598381418850434,-0.1009849049446954,-0.02288577650061382,0.05002185463972877,-0.17274895122366016,0.010341604182509014,-0.09859392265057512,0.38341264527162316,-0.08944196048364807,0.033407940001986346,-0.2050580758642305,0.11292245880476771,0.02105602940896179,0.01583748786938005,0.09573496701625066
Batch11,47,10,62260,2,1.2305745738679663,0.2715247448859726,0.6905405581527853,0.3713823508930765,0.879411601455086,0.9979871444486428,1.214696105066522,0.3449367017018233,0.8088600032475192,0.4021081888311654,0.8744422794680822,-0.36393964598205736,0.1640380253904421,1.9455406783053033,0.718622003338783,0.6792477831526874,0.2204367032648078,0.07391531073722872,0.06341655552963131,0.4236798680425692,0.7096083933142802,1.1308877893018447,0.23716738733290915,0.15161928695280483,0.5209991416291242,0.09495687997175987,0.22250837143911428,0.102566953507266,0.316699541123359,0.239502051274323,0.08473016208174586,-0.09680315513969706,-0.0497148549733518,-0.15732698875020765,-0.1974794911942076,0.19583045022450857,0.10806455487044085,-0.015258324971522092,-0.027543889055634964,0.12633132419987742,-0.022628635177521537,-3.4088139819674133e-4,-0.00813708153823864,-0.03348342968300162,-0.016193738767926194,0.06157021020397855,-0.08748563903630693,-0.01510510833353513,-0.008096541212983576,0.026013938663799693,0.07832946371939913,-0.2866008255665463,-0.11659867264875955,-0.017328346996885038,-0.05905200538207313,-0.07665990419747877,-0.02464250262608484,0.03579493308019361,0.023135407569772712,-0.05240304110752138,0.05351420530924487,-0.035171777573464326,0.0202289986161468,-0.20935412404094234,0.32196148803743113,-0.047768603378214224,-0.04805940788466671,-0.05533662100109862,0.053336223005564495,0.3570219813734011,-0.060618355255562,-0.1954417100498528
Batch11,47,10,62280,3,1.2501611085268274,0.27278929912739963,0.6323056381890111,0.3531290752347106,0.904550858841232,0.9966088145434252,1.2906606081174166,-0.15470453312882493,1.1039058824486343,0.1867166376529911,0.9254085391888002,-0.33973845907221534,0.03031065507455744,3.1949091771301825,0.6944787211289293,0.6634703755680535,0.37628339356062224,-0.02839882346582271,-0.04424860166078764,0.21650417840731165,0.6457026024688026,1.0807394082984971,0.3674225481767045,0.11923094192296378,0.3729629770884258,-0.03117724535098351,0.16197168151037322,0.25547689734322127,0.24596156529511015,0.18585618390482797,-0.13484373872435598,-0.170632793403467,-0.17257470215734652,-0.10771712999277214,-0.16580757990886558,0.11475291060397398,0.11202096746062512,0.022056915450828322,0.0027980595889027992,0.0779687607141321,-0.009194828161360864,0.015441196770899904,0.042084559930392645,-0.017280367425777616,0.005873098633872604,0.08705470946709992,0.0253440506631676,-0.007688889598877782,0.03984805190378577,-0.005858345950464111,-0.03576595788266397,-0.03653424648723224,-0.024303924355084973,-0.04640961128533522,-0.045192236358764765,-0.041500425401246405,-0.02601593318708507,0.09537291562190603,0.04112924461247088,-0.06974758721527556,0.02587390734879987,-0.017660958294991997,-0.037031259481320473,-0.16180576419680284,0.15175608509739558,0.028180090796232106,-0.0508556104754253,0.17372145261064148,0.0038835010566666763,0.2769936782089461,-0.1555203949815681,-0.2613951923162547
Batch11,47,10,62300,4,1.2418486649746543,0.04534035625606249,0.42604686087295024,0.13824887789738402,0.9475346576567528,0.9954546820825828,1.2492381056293609,-0.5980795330648135,1.2067323395734,-0.08289427809663731,0.8829460796433493,-0.3949910301698898,0.13222342883060376,3.878809467773154,1.039258440644674,1.0421067292038253,0.7472683032970707,0.10301309335372036,0.09523642118361211,0.28022274639697753,0.7385163675905702,1.1075273034227977,0.6639912827094199,0.21268329737945563,0.3224201182692313,-0.14105342297211054,0.1722037223195449,0.3643427956072307,0.2330412174735129,0.11083742087657276,-0.2317364126696775,-0.22780529741725408,-0.3909645279637533,-0.09408328842268368,-0.19229852707773432,0.08581979775133287,0.1683724436944417,0.03292462436592018,0.01681467846196572,-0.011404082175298697,0.04821925262815477,0.017750664203107055,0.07419206240580324,-0.027897589676791568,0.013906318974598637,0.08297563506751014,0.11467660408206919,-0.026760302742526727,0.04143522118747872,-0.0470455285039814,-0.09027633202305194,0.1421227219428473,-0.010150221600078979,-0.04517756386992446,0.016737917516750158,0.021641247658579225,-0.03734922615036914,0.1517020063250324,-0.0739155976979462,0.032877025561091296,-0.016042713702695874,-0.07146509568601515,-0.03582171249992721,-0.057058769188677055,0.17481565357312298,0.1185273760439889,-0.011802792802691872,0.30804530475401476,0.07005445964569895,0.08410626853450459,-0.09792883378036343,-0.2846973634099513
Batch11,47,10,62320,5,1.1443213977072664,-0.5903056631259676,1.1143940194344215,-0.32647453848592034,0.8996089400130853,0.8887997102936517,0.9073411610331282,0.12897376442756753,0.5591660977016019,0.00766362028369543,0.7007288835644652,-0.5852120686831891,0.4657558736778404,3.866202065129429,2.0389825488316338,1.2373729518197378,1.0933526926715549,0.3724322634439058,0.4582958378404952,0.8516353671824725,1.3647079598923368,1.1551210543617376,0.764322096048907,0.3807017730853183,0.49959143730083694,-0.22485301014166553,0.950505875336994,0.2716554726943192,0.5783486508889571,0.19805530503116153,-0.0896457663818526,-0.06472454235543604,-0.24275326647728104,-0.1169554314117977,-0.20480052945991636,-0.1151366676601764,0.2446115738589432,-0.10406929996440063,-0.07044037823902156,-0.28719323411228953,0.09734572352285045,0.010797717835039706,-0.01205963573224614,-0.028675407533204744,-0.037773684960153986,0.1321722098504458,0.2023613269676643,-0.06401073277607447,0.046008397203564984,-0.04201216195707054,0.09724142155075062,-0.028486672075084898,-0.05940225597558585,0.015158812615012947,0.17522697296116527,0.09858742093644396,-0.00871690725401146,0.06907914072591381,0.08394059293165065,0.2517453620059922,0.0646725022207403,-0.04758317836640692,0.14340378545933466,-0.1922771026571405,0.5420354262164215,0.04900508311325926,0.1275519020189104,0.16004636087583138,0.1273389180087918,-0.2365212628490167,0.22291440475520458,0.14953987428870144
Batch11,47,10,62340,6,1.154016592664509,-0.149915613208132,0.6633905620834666,-0.1407965063701292,0.7907033938309382,0.881930519569194,0.9831100148757702,0.3586547557594921,0.7893528668839906,0.1617634602372963,0.7246093637324434,-0.5059649044855984,0.59384942292923,3.960420605105361,1.3192288223920583,1.0527960478175615,0.822944665900216,0.541298650497229,0.5110237461981836,0.9424279906650532,1.0047681286101606,0.9046204259218708,0.5506014680465576,0.4469687537796556,0.48542827208525086,-0.13353386379148016,0.6506655674710304,0.6020448360507957,0.3941808363750051,0.2472165775456478,-0.07252483795270592,-0.09334509287617442,-0.27350848573177866,-0.14787392944477842,-0.19882619524515643,-0.06263559400340575,0.21407872703428452,-0.07626727359003616,-0.06596377613556362,-0.12642936641122463,0.050617548742816175,0.00971837801584036,0.0068141524196276134,-0.040409597693109936,0.004095531699059474,0.2028556835981256,0.1450606532963177,-0.06153526102175211,-0.07611618494554849,0.002200609500309315,0.05895702525650304,-0.13169444652232032,-0.11310493369560433,0.20363025789938924,0.02480692353874225,0.13003560827513735,0.04162025222511081,0.20489684777784006,0.1427060432608169,0.2296194147676527,0.038909310488318714,-0.02482457306391439,0.02064500617249688,-0.017014942175288837,0.3032568709530965,0.17094881181973945,0.07679325430143066,0.032325666183707566,-0.09659671779453421,-0.2875659987168554,-0.14889076836206439,0.16545339581913487
Batch11,47,10,62360,7,1.1930712829020715,0.2509777400376205,0.3253119588821712,0.04292281421162573,0.756845542631274,0.9087543415643436,1.1216005935705262,0.396601447695117,0.9629609265636352,0.29069264745013956,0.8116390709490954,-0.4434185921890595,0.5123125990845301,4.0166016120222565,0.7056679108589983,0.9108662501221266,0.6525970726596999,0.5157568065543022,0.417331459020232,0.7823735807285238,0.6808983067083844,0.7645981432541638,0.3981712721706319,0.38378800996289625,0.5179964163395004,-0.0055840307790153,0.3002599977867191,0.8061919339649617,0.18329516116591435,0.24935619172798856,-0.02099689112654914,-0.17293091172333308,-0.332498689704223,-0.1925544928939717,-0.20197980246490763,0.00844722514642884,0.1765072874227527,-0.0398740738474915,-0.041031445420235964,0.03307005183056176,0.01082588417076849,0.0016870534705401413,0.012904907799723109,-0.04449150466883072,0.03947657289895107,0.1960591856056637,0.0549595268130495,-0.051571496607054554,-0.12153236383939295,0.011066653498913422,0.019367936567052314,-0.15003244429800433,-0.12796472524775052,0.3594127510098198,-0.11625709449117672,0.10810184880217825,0.050998844478747175,0.290964239225218,0.10527711330742019,0.1525944983779381,0.0029747232313403417,0.006086762954381299,-0.07110380031659898,0.16423342836370639,0.09316928008782975,0.31315732492138026,0.004985689449253817,0.07480927371199432,-0.3066426780658052,-0.20945290475335396,-0.30388333906166104,0.12146355364063972
Batch11,47,10,62380,8,1.2023047343443931,0.46191005786893874,1.016766113226217,0.3355552010992524,0.8514286560719437,0.9984017945801136,1.2883576453428975,0.3931969332516419,0.5663226860940894,0.3422854408872745,0.9158567031983638,-0.21195929487729467,-0.00280695178633993,4.040863864644085,0.9910889186868804,0.937150369068704,0.4361855460896553,0.05486621427158285,0.05651421572673286,0.24817467237521193,0.9128574842327312,0.7995972063910125,0.35613741186975856,0.02186700816791221,0.5529489220937353,0.15977523529035215,0.22439047494328104,0.6256500976160595,0.22741068996476535,0.1558526340008121,0.20901781772526185,-0.3563032965528199,-0.612238668452338,-0.28129169083832684,-0.2771548154715813,-0.02050821291576509,0.11811243137359946,-0.06185926752195134,0.04669540035588569,0.11155369296995517,-0.03235840200820845,-0.002090170243355431,-0.07196811449762984,-0.026794399566782,0.006669444095306746,-0.010202789155046084,-0.037338846166298734,-0.01686820657514012,-0.06982493311242184,0.012791747281115278,0.07031841974902149,0.0900747591876374,-0.0628482966379076,0.3260172991753417,0.02567987702852036,0.011090336491975243,0.02052043156178919,0.18974587567639034,-0.028570631482035553,0.03478161203464832,-7.215839708132798e-4,0.04584175944478552,-0.04044899634435337,-0.005713290096072556,0.3077298856841899,-0.13174909682839955,-0.03073206266803756,0.014109429207065094,0.10380003675458029,0.17111699987226417,0.11250153550177934,-0.07041085770098633
Batch11,47,10,62400,9,1.2254308212523577,-0.5715171723581716,1.7685144324173654,-0.15157357072799976,0.98645139207963906,0.9906625897878572,1.3275948219784446,0.5090652495135958,0.8566742660426517,0.3647702661989437,0.9032694718819424,-0.17714431471681535,-0.24176831393466824,3.949387153114997,0.7788040614408336,0.7850254007070978,0.5318957451723587,-0.06392887572363759,-0.1363364705235402,-0.03541024878273135,0.8673298543210696,0.5311698699320813,0.43837497975752504,-0.01512997283598911,0.3948301906987249,-0.01846218947955582,0.11334796060367391,-0.05678409888500038,0.16286712195833286,0.189715133379434,-0.14817482094753745,-0.1642608382239956,-0.11488275237241974,-0.1741994012840569,-0.16109154810536672,-0.223213658354323,0.10940858006785979,-0.006848545644984754,-0.046717935631202336,-0.21817507612923556,-0.04401701344392802,4.504385558297012e-4,-0.037320415737414174,0.03586517273681815,0.007211885212482447,-0.1221147990808023,0.03887462234780903,-0.0023237794815738505,-0.07967974061008191,-0.0031007456208495933,0.021332828180551315,0.08869571692660587,0.04825393580387664,-0.15751593948062717,-0.013903685214071067,0.033032406188384066,0.07004349426177785,0.1334879017150053,0.07371796312584805,-0.045194313329554744,0.013348903377664768,0.0653844989820035,-0.05502235130296412,-0.0864593598615032,0.008978273122165939,0.005934919410307876,0.048351036204506974,0.11742179255224795,0.09915145504423832,0.09686152860140566,-0.23965689037761892,0.11496299799230206
Batch11,47,10,62420,10,1.1595494847518957,-0.46517716981408264,1.6865370965401765,-0.08131079706619528,0.9459900227489374,0.9987750872478603,1.286088459195793,0.6271214930563435,0.787744070589038,0.39737105905174186,0.9310729499798932,-0.1282752877404678,-0.24072129376574555,3.630136753379638,0.9681102854135278,0.8576978592071408,0.7730036698375521,0.05100310850277434,-0.0494805526750633,-0.02711182359257842,0.8433324911733877,0.8754009247937314,0.42111650470493994,0.0396944629798267,0.40782707572503385,-0.12739515308583374,0.18000963535225234,0.04452110889604444,0.3240299324177438,0.19048376154370783,-0.24152353581184183,-0.29807920743850136,0.0418697803790507,-0.207401207296434,-0.189020372043032,-0.15794495458137112,0.12485857644500375,-0.042102298008010984,-0.024959209090804298,-0.25813347995729896,-0.03523356396906072,0.014727266591197012,-0.007714110648510975,0.03079925762352104,5.443040862652609e-4,-0.06819684133501695,0.016536151409996806,-0.02403927169992326,-0.10419363439299151,0.0028221684801390625,-0.04182168268998843,0.07849267225741041,-0.005899201571162757,-0.1579631865051469,0.07620424064063819,0.019443009815540695,-0.029810083375524144,0.020923634206233062,0.065284357519185,-0.06551152424064373,0.05605587506266006,0.1115046723073967,0.03146578424192572,0.058690293478338595,-0.019894171111308267,-0.03767687976003783,0.04948453758628297,-0.00804768772379993,-0.04089651663015633,-0.0936684429690117,-0.2928299568238415,0.19050086042315906
Batch11,47,10,62440,11,1.179433127245875,-0.4555247860373184,1.8604483529242493,-0.10527331926806524,0.9077335577428416,0.9966677802979844,1.296299203734553,0.7772835211978661,0.7918687095845255,0.4349455767654225,0.8991653209342626,-0.2850504241161335,-0.23779989122104417,3.3852111277870627,1.0481317527631298,0.8647240252197433,0.7350667410862288,-0.02620939788153902,-0.07946119226840498,-0.05160013849573101,0.8989427194341952,0.8922731660385076,0.4681394731438817,0.04941068915530791,0.45764643395797094,-0.0972157817670534,0.22431198355190188,0.2013534343859291,0.33488735048114737,0.16493503638265752,-0.2085484953769155,-0.20634950082960088,0.08851923784443574,-0.17150670513711763,-0.1694970780876857,-0.0788459644369375,0.12376075274156145,-0.052997229056501546,-0.05289893889677134,-0.24949434187947717,-0.03735123975157971,0.011211563302772093,-0.011574393112449241,0.027546423326580038,-0.008413008814069242,-0.07281131439828871,-0.007249799094441776,-0.02377196593486485,0.04098303058994232,-0.015037832877391624,-0.004310075852038284,0.04276551948802094,-0.04904439003215812,-0.030041772351239036,0.06593374249459479,0.0441777122309911,-0.029969577506921502,-0.04517562808128984,-0.019176210569635702,-0.11640568566020901,0.08131328971261634,0.07988919427837755,-0.06704838811913101,0.02770856503247832,0.039266468822073256,-0.05120963403045796,0.06624821832214642,-0.08743818887931837,0.11410203516436496,-0.04924615398206368,-0.2792212264428151,0.07615159085277798
Batch11,47,10,62460,12,1.13203454539291,-0.22448704047771667,1.4326463746945597,-0.03152500781284328,0.8600502455736524,0.9942196482293222,1.2683237757222257,0.6967854471442404,0.9270189804185202,0.39407954987362986,0.8898124583784218,-0.3325116550074316,-0.26515580213285983,3.2253897757041696,1.0018365773583522,0.728041579238879,0.5882176656986012,-0.10569271659123704,-0.1073652228366375,-0.109316142807848,0.8912018149592675,0.8388589531393478,0.4851945866932178,0.03766928498309707,0.37550130769166296,-0.0630441446132792,0.25703928351912136,0.10624870572832606,0.2596947167187094,0.1386005933230327,-0.12817566435909808,-0.095492560700838,0.07014721458843405,-0.12189567885933549,-0.1470035520513699,-0.00653159525315208,0.0952739038104603,-0.030039244702013718,-0.05712650575363745,-0.14626587102636926,-0.026845958761523382,0.006628151941071009,0.005175758619086739,0.017710801392739863,-0.017290448134339928,-0.06900953139302093,0.0336247170067365,-0.003851627350135065,0.019373226342626598,-0.029627658384480723,-0.009172326664010536,-0.02690469314167543,-0.06992129581160031,0.01265020795645573,0.08201215306194133,0.017199307518667807,-0.016441689391379535,-0.1046730550376861,-0.02457647625041096,-0.12640497730004227,0.053210419915397475,0.035330351040618505,-0.0649992959046894,0.023426507131703207,-0.0053307215360408194,-0.009019872396702945,0.04256732730323243,-0.10971624286373098,0.25131888173864736,0.058762794639855766,-0.19489750316280544,0.049060556526561265
Batch11,47,10,62480,13,1.067198039074582,0.323356396346923,0.4933990237802977,0.2652981962063604,0.916090332216448,0.9701279815386188,1.3598989825714354,-0.00637318032770954,1.4901971513480017,0.08189566948868274,0.9474926198777543,-0.1884530276457101,-0.4115202416124674,3.2208387880176357,0.8373949048081814,0.79684949339395,0.478863524640757,-0.1277023949979915,-0.24259369207752715,-0.26579846642695204,0.846851910875213,0.8227338717958331,0.4745395599267091,-0.13018454437079763,0.32293077274795345,0.00332262490376821,0.23938334608924075,0.460842141446143,0.20255063133781603,0.20624406356442912,0.10660960659663513,0.02992406477568625,-0.04193521045142085,-0.07914215892556417,-0.16652610648364782,0.12919236280986451,0.06536591571414281,-0.031047895883627417,-0.018682205906013997,0.1703739605670779,0.004268369283408115,0.006941808274013545,0.0406745558437369,0.004253099681853077,0.01280074656687133,-0.024206038933302736,0.031144298591726394,0.020874272760166675,-0.008592729926983872,-0.031856432627978326,-0.07141843943118162,0.11796905599192685,-0.07406072752842165,-0.055874762344618266,-0.030963893097601242,-0.022143532021730857,0.003732574857785372,-0.17997679242697237,-0.08875859769535506,0.10970309103991774,-0.017395285889892465,-0.09529952253549209,0.07009422985295531,0.10421621772457572,-0.2480270513557588,0.03836451294463586,0.015919054732348996,0.006938138507468573,-0.07121063196063161,0.38176774057906177,-0.03643020544744392,-0.014684642640366022
